ID,Genus,Name,Dev,Stage,Maxilla,Mouth_Angle,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length,Notes,,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length
MCZ_148117_5,Pterycombus,Pterycombus brama,Juvenile,0,0.191,,0.404,0.128,0.141,0.507,0.481,0.891,0.423,0.19,0.393,0.216,,,0.006363006,0.002016002,0.002220752,0.007985258,0.007575758,1,0.006662257,0.002992503,0.006189756,0.003402003
MCZ_148124,Pterycombus,Pterycombus brama,Juvenile,0,0.115,,0.387,0.082,0.045,0.568,0.341,0.838,0.383,0.149,0.319,0.192,,,0.006095256,0.001291501,0.000708751,0.008946009,0.005370755,1,0.006032256,0.002346752,0.005024255,0.003024003
MCZ_148260,Pteraclis,Pteraclis carolinus,Juvenile,0,0.135,,0.272,0.07,0.085,0.523,0.311,0.672,0.323,0.148,0.263,0.179,,,0.004284004,0.001102501,0.001338751,0.008237258,0.004898255,1,0.005087255,0.002331002,0.004142254,0.002819253
MCZ_148261,Pteraclis,Pteraclis carolinus,Juvenile,0,0.188,,0.324,0.108,0.099,0.771,0.371,1.007,0.482,0.233,0.443,0.263,,,0.005103005,0.001701002,0.001559252,0.012143262,0.005843256,1,0.007591508,0.003669754,0.006977257,0.004142254
MCZ_148262,Pteraclis,Pteraclis carolinus,Juvenile,0,0.19,,0.356,0.165,0.076,0.753,0.451,0.986,0.428,0.249,0.477,0.262,,,0.005607006,0.002598753,0.001197001,0.011859762,0.007103257,1,0.006741007,0.003921754,0.007512758,0.004126504
MCZ_148264_1,Pteraclis,Pteraclis carolinus,Juvenile,0,0.151,,0.265,0.078,0.091,0.427,0.378,0.668,0.327,0.146,0.307,0.185,Bent,,0.004173754,0.001228501,0.001433251,0.006725257,0.005953506,1,0.005150255,0.002299502,0.004835255,0.002913753
MCZ_148264_2,Pteraclis,Pteraclis carolinus,Juvenile,0,0.132,,0.164,0.09,0.193,0.333,0.145,0.581,0.259,0.115,0.245,0.239,,,0.002583003,0.001417501,0.003039753,0.005244755,0.002283752,1,0.004079254,0.001811252,0.003858754,0.003764254
MCZ_148265,Pteraclis,Pteraclis carolinus,Juvenile,0,0.022,,0.033,0.007,0.007,0.063,0.056,0.039,0.046,0.02,0.04,0.022,,,0.000519751,0.00011025,0.00011025,0.000992251,0.000882001,1,0.000724501,0.000315,0.000630001,0.0003465
MCZ_148266,Pteraclis,Pteraclis carolinus,Juvenile,0,0.13,,0.321,0.104,0.118,0.638,0.426,0.881,0.4,0.196,0.402,0.214,,,0.005055755,0.001638002,0.001858502,0.01004851,0.006709507,1,0.006300006,0.003087003,0.006331506,0.003370503
MCZ_148267,Pteraclis,Pteraclis carolinus,Juvenile,0,0.1,,0.301,0.073,0.119,0.542,0.371,0.747,0.336,0.153,0.324,0.155,,,0.004740755,0.001149751,0.001874252,0.008536509,0.005843256,1,0.005292005,0.002409752,0.005103005,0.002441252
